image_id,group_id,pathology_class,stress_condition,region,device_tier,farm_size,status
img_0001,1,pending_review,baseline,sacramento_ca,flagship,backyard,approved
img_0002,1,pending_review,dust,sacramento_ca,flagship,backyard,approved
img_0003,1,pending_review,shadow,sacramento_ca,flagship,backyard,approved
img_0004,2,pending_review,baseline,sacramento_ca,flagship,backyard,approved
img_0005,2,pending_review,dust,sacramento_ca,flagship,backyard,approved
img_0006,2,pending_review,hand,sacramento_ca,flagship,backyard,approved
img_0007,2,pending_review,shadow,sacramento_ca,flagship,backyard,approved
img_0008,3,pending_review,dust,sacramento_ca,flagship,backyard,approved
img_0009,3,pending_review,shadow,sacramento_ca,flagship,backyard,approved
img_0010,3,pending_review,baseline,sacramento_ca,flagship,backyard,approved
img_0011,4,pending_review,hand,sacramento_ca,flagship,backyard,approved
img_0012,4,pending_review,baseline,sacramento_ca,flagship,backyard,approved
img_0013,4,pending_review,shadow,sacramento_ca,flagship,backyard,approved
img_0014,5,pending_review,baseline,sacramento_ca,flagship,backyard,approved
img_0015,5,pending_review,dust,sacramento_ca,flagship,backyard,approved
img_0016,5,pending_review,hand,sacramento_ca,flagship,backyard,approved
img_0017,5,pending_review,shadow,sacramento_ca,flagship,backyard,approved
img_0018,6,pending_review,baseline,sacramento_ca,flagship,backyard,approved
img_0019,6,pending_review,dust,sacramento_ca,flagship,backyard,approved
img_0020,6,pending_review,hand,sacramento_ca,flagship,backyard,approved
img_0021,6,pending_review,shadow,sacramento_ca,flagship,backyard,approved
img_0022,7,pending_review,baseline,sacramento_ca,flagship,backyard,approved
img_0023,7,pending_review,dust,sacramento_ca,flagship,backyard,approved
img_0024,7,pending_review,hand,sacramento_ca,flagship,backyard,approved
img_0025.jpg,1,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0026.jpg,1,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0027.jpg,1,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0028.jpg,2,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0029.jpg,2,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0030.jpg,2,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0031.jpg,2,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0032.jpg,3,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0033.jpg,3,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0034.jpg,3,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0035.jpg,4,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0036.jpg,4,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0037.jpg,4,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0038.jpg,5,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0039.jpg,5,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0040.jpg,5,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0041.jpg,5,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0042.jpg,6,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0043.jpg,6,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0044.jpg,6,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0045.jpg,6,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0046.jpg,7,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0047.jpg,7,pending_review,,sacramento_ca,low_tier,backyard,approved
img_0048.jpg,7,pending_review,,sacramento_ca,low_tier,backyard,approved
